	L-6	L-5	L-4	L-3	L-2	L-1	L0	L1	L2	L3	L4	L5	L6	L7
12/30/17	950	1200	900	700	600	250	1500	1550	950	400	300	2500	200	200
12/29/17	1300	950	1200	900	700	600	250	1500	1550	950	400	300	2500	200
12/28/17	1300	1300	950	1200	900	700	600	250	1500	1550	950	400	300	2500
12/27/17	650	1300	1300	950	1200	900	700	600	250	1500	1550	950	400	300
12/26/17	1800	650	1300	1300	950	1200	900	700	600	250	1500	1550	950	400
12/25/17	600	1800	650	1300	1300	950	1200	900	700	600	250	1500	1550	950
12/24/17	800	600	1800	650	1300	1300	950	1200	900	700	600	250	1500	1550
12/23/17	300	800	600	1800	650	1300	1300	950	1200	900	700	600	250	1500
12/22/17	400	300	800	600	1800	650	1300	1300	950	1200	900	700	600	250
12/21/17	400	400	300	800	600	1800	650	1300	1300	950	1200	900	700	600
12/20/17	400	400	400	300	800	600	1800	650	1300	1300	950	1200	900	700
12/19/17	400	400	400	400	300	800	600	1800	650	1300	1300	950	1200	900
12/18/17	400	400	400	400	400	300	800	600	1800	650	1300	1300	950	1200
12/17/17	400	400	400	400	400	400	300	800	600	1800	650	1300	1300	950
12/16/17	450	400	400	400	400	400	400	300	800	600	1800	650	1300	1300
12/15/17	500	450	400	400	400	400	400	400	300	800	600	1800	650	1300
12/14/17	500	500	450	400	400	400	400	400	400	300	800	600	1800	650
12/13/17	500	500	500	450	400	400	400	400	400	400	300	800	600	1800
12/12/17	500	500	500	500	450	400	400	400	400	400	400	300	800	600
12/11/17	600	500	500	500	500	450	400	400	400	400	400	400	300	800
12/10/17	500	600	500	500	500	500	450	400	400	400	400	400	400	300
12/9/17	600	500	600	500	500	500	500	450	400	400	400	400	400	400
12/8/17	750	600	500	600	500	500	500	500	450	400	400	400	400	400
12/7/17	1120	750	600	500	600	500	500	500	500	450	400	400	400	400
12/6/17	2350	1120	750	600	500	600	500	500	500	500	450	400	400	400
12/5/17	1200	2350	1120	750	600	500	600	500	500	500	500	450	400	400
12/4/17	500	1200	2350	1120	750	600	500	600	500	500	500	500	450	400
12/3/17	500	500	1200	2350	1120	750	600	500	600	500	500	500	500	450
12/2/17	500	500	500	1200	2350	1120	750	600	500	600	500	500	500	500
12/1/17	500	500	500	500	1200	2350	1120	750	600	500	600	500	500	500
11/30/17	500	500	500	500	500	1200	2350	1120	750	600	500	600	500	500
11/29/17	500	500	500	500	500	500	1200	2350	1120	750	600	500	600	500
11/28/17	500	500	500	500	500	500	500	1200	2350	1120	750	600	500	600
11/27/17	500	500	500	500	500	500	500	500	1200	2350	1120	750	600	500
11/26/17	500	500	500	500	500	500	500	500	500	1200	2350	1120	750	600
11/25/17	500	500	500	500	500	500	500	500	500	500	1200	2350	1120	750
11/24/17	600	500	500	500	500	500	500	500	500	500	500	1200	2350	1120
11/23/17	700	600	500	500	500	500	500	500	500	500	500	500	1200	2350
11/22/17	1100	700	600	500	500	500	500	500	500	500	500	500	500	1200
11/21/17	800	1100	700	600	500	500	500	500	500	500	500	500	500	500
11/20/17	450	800	1100	700	600	500	500	500	500	500	500	500	500	500
11/19/17	500	450	800	1100	700	600	500	500	500	500	500	500	500	500
11/18/17	500	500	450	800	1100	700	600	500	500	500	500	500	500	500
11/17/17	500	500	500	450	800	1100	700	600	500	500	500	500	500	500
11/16/17	500	500	500	500	450	800	1100	700	600	500	500	500	500	500
11/15/17	600	500	500	500	500	450	800	1100	700	600	500	500	500	500
11/14/17	600	600	500	500	500	500	450	800	1100	700	600	500	500	500
11/13/17	600	600	600	500	500	500	500	450	800	1100	700	600	500	500
11/12/17	650	600	600	600	500	500	500	500	450	800	1100	700	600	500
11/11/17	700	650	600	600	600	500	500	500	500	450	800	1100	700	600
11/10/17	750	700	650	600	600	600	500	500	500	500	450	800	1100	700
11/9/17	800	750	700	650	600	600	600	500	500	500	500	450	800	1100
11/8/17	850	800	750	700	650	600	600	600	500	500	500	500	450	800
11/7/17	700	850	800	750	700	650	600	600	600	500	500	500	500	450
11/6/17	1000	700	850	800	750	700	650	600	600	600	500	500	500	500
11/5/17	1400	1000	700	850	800	750	700	650	600	600	600	500	500	500
11/4/17	1800	1400	1000	700	850	800	750	700	650	600	600	600	500	500
11/3/17	2300	1800	1400	1000	700	850	800	750	700	650	600	600	600	500
11/2/17	3000	2300	1800	1400	1000	700	850	800	750	700	650	600	600	600
11/1/17	5000	3000	2300	1800	1400	1000	700	850	800	750	700	650	600	600
10/31/17	13000	5000	3000	2300	1800	1400	1000	700	850	800	750	700	650	600
10/30/17	17000	13000	5000	3000	2300	1800	1400	1000	700	850	800	750	700	650
10/29/17	6650	17000	13000	5000	3000	2300	1800	1400	1000	700	850	800	750	700
10/28/17	2050	6650	17000	13000	5000	3000	2300	1800	1400	1000	700	850	800	750
10/27/17	1400	2050	6650	17000	13000	5000	3000	2300	1800	1400	1000	700	850	800
10/26/17	2150	1400	2050	6650	17000	13000	5000	3000	2300	1800	1400	1000	700	850
10/25/17	2950	2150	1400	2050	6650	17000	13000	5000	3000	2300	1800	1400	1000	700
10/24/17	10750	2950	2150	1400	2050	6650	17000	13000	5000	3000	2300	1800	1400	1000
10/23/17	19350	10750	2950	2150	1400	2050	6650	17000	13000	5000	3000	2300	1800	1400
10/22/17	3150	19350	10750	2950	2150	1400	2050	6650	17000	13000	5000	3000	2300	1800
10/21/17	1150	3150	19350	10750	2950	2150	1400	2050	6650	17000	13000	5000	3000	2300
10/20/17	1850	1150	3150	19350	10750	2950	2150	1400	2050	6650	17000	13000	5000	3000
10/19/17	2050	1850	1150	3150	19350	10750	2950	2150	1400	2050	6650	17000	13000	5000
10/18/17	3450	2050	1850	1150	3150	19350	10750	2950	2150	1400	2050	6650	17000	13000
10/17/17	2800	3450	2050	1850	1150	3150	19350	10750	2950	2150	1400	2050	6650	17000
10/16/17	1900	2800	3450	2050	1850	1150	3150	19350	10750	2950	2150	1400	2050	6650
10/15/17	850	1900	2800	3450	2050	1850	1150	3150	19350	10750	2950	2150	1400	2050
